customer_id,name,gender,age,age_group,city,membership
C66,Pavani Barad,Female,51,Adult,Noida,None
C67,Oeshi Saha,Female,24,Adult,Gurgaon,Gold
C68,Zansi Shanker,Female,28,Adult,Gurgaon,None
C69,Vasana Saini,Female,37,Adult,Faridabad,Gold
C70,Warjas Barad,Male,39,Adult,Delhi,Silver
C71,Tanvi Om,Female,46,Adult,Noida,Gold
C72,Radhika Sagar,Female,19,Adult,Faridabad,None
C73,Aarush Pau,Male,38,Adult,Gurgaon,Silver
C74,Jacob Din,Male,35,Adult,Faridabad,None
C75,Isha Vyas,Female,27,Adult,Noida,Gold
C76,Veer Chaudhari,Male,44,Adult,Gurgaon,Silver
C77,Tarak Bhargava,Male,40,Adult,Noida,Silver
C78,Pranav Savant,Male,60,Senior,Gurgaon,Gold
C79,Aarnav Parekh,Male,36,Adult,Delhi,Silver
C80,Caleb Soman,Male,37,Adult,Delhi,Gold
C81,Anya Saha,Female,58,Adult,Noida,Silver
C82,Bhavani Mannan,Female,49,Adult,Noida,Silver
C83,Pooja Dhaliwal,Female,34,Adult,Delhi,Silver
C84,Manan Wali,Male,57,Adult,Noida,Silver
C85,Leela Puri,Female,32,Adult,Faridabad,Gold
C86,Bhavani Bera,Female,27,Adult,Noida,None
C87,Ekapad Tella,Male,40,Adult,Gurgaon,Silver
C88,Pushti Rout,Female,57,Adult,Noida,Silver
C89,Yatan Bawa,Male,44,Adult,Delhi,Gold
C90,Ganga Radhakrishnan,Female,30,Adult,Gurgaon,Gold
C91,Devansh Rao,Male,33,Adult,Faridabad,Silver
C92,Lila Dhawan,Female,39,Adult,Delhi,None
C93,Madhav Bora,Male,60,Senior,Gurgaon,Silver
C94,Radhika Talwar,Female,29,Adult,Gurgaon,Gold
C95,Dipta Nagar,Female,27,Adult,Delhi,Silver
C96,Nidhi Mitter,Female,29,Adult,Delhi,Silver
C97,Qushi Gole,Female,34,Adult,Gurgaon,None
C98,Zinal Chand,Female,50,Adult,Gurgaon,Gold
C99,Radhika Padmanabhan,Female,59,Adult,Delhi,Gold
C100,Eesha Hans,Female,41,Adult,Faridabad,Silver
C101,Brijesh Hari,Male,21,Adult,Delhi,None
C102,Sachi Pandit,Female,21,Adult,Faridabad,None
C103,Aarav Vala,Male,30,Adult,Faridabad,Silver
C104,Darpan Dua,Male,58,Adult,Delhi,None
C105,Hemang Bhattacharyya,Male,19,Adult,Gurgaon,None
C106,Ishanvi Zacharia,Female,57,Adult,Delhi,None
C107,Yamini Kurian,Female,39,Adult,Faridabad,Silver
C108,Upadhriti Srinivasan,Female,29,Adult,Delhi,Silver
C109,Avi Bali,Male,46,Adult,Gurgaon,Gold
C110,Benjamin Choudhry,Male,44,Adult,Faridabad,None
C111,Anay Sarna,Male,32,Adult,Delhi,Gold
C112,Hemangini Behl,Female,49,Adult,Faridabad,Silver
C113,Ridhi Saha,Female,43,Adult,Noida,None
C114,Vasudha Chowdhury,Female,52,Adult,Noida,Gold
C115,Nathaniel Madan,Male,36,Adult,Noida,Silver
C116,Sai Saini,Female,48,Adult,Gurgaon,Silver
C117,Hemang Chatterjee,Male,41,Adult,Delhi,Gold
C118,Agastya Memon,Male,45,Adult,Noida,None
C119,Anusha Gera,Female,22,Adult,Gurgaon,Gold
C120,Prisha Vyas,Female,22,Adult,Gurgaon,None
C121,Wishi Purohit,Female,45,Adult,Gurgaon,Silver
C122,Pavani Goyal,Female,37,Adult,Noida,Silver
C123,Irya Narayanan,Female,58,Adult,Faridabad,None
C124,Wridesh Anne,Male,39,Adult,Noida,None
C125,Odika Halder,Female,33,Adult,Delhi,Gold
C126,Jagdish Kota,Male,25,Adult,Noida,None
C127,Vrishti Chand,Female,22,Adult,Gurgaon,None
C128,Nirja Sodhi,Female,51,Adult,Faridabad,Silver
C129,Rachit Parekh,Male,40,Adult,Delhi,Gold
C130,Pranav Gopal,Male,60,Senior,Noida,Silver
C131,Thomas Char,Male,53,Adult,Faridabad,None
C132,Dayamai Dhillon,Female,27,Adult,Faridabad,None
C133,Tanveer Narayan,Male,38,Adult,Gurgaon,None
C134,Kritika Kala,Female,48,Adult,Noida,Gold
C135,Advaith Kannan,Male,21,Adult,Gurgaon,Silver
C136,Omya Saraf,Female,49,Adult,Faridabad,None
C137,Viraj Bora,Male,41,Adult,Delhi,Gold
C138,Mohini Ghosh,Female,35,Adult,Delhi,Gold
C139,Atharv Natt,Male,18,Teen,Delhi,None
C140,Inaya Loke,Female,54,Adult,Noida,Silver
C141,Bhavika Savant,Female,18,Teen,Noida,Silver
C142,Xalak Shanker,Female,47,Adult,Faridabad,Gold
C143,Pratyush Kumar,Male,59,Adult,Delhi,Silver
C144,Ucchal Chad,Female,55,Adult,Noida,Gold
C145,Balhaar Balakrishnan,Male,51,Adult,Faridabad,None
C146,Aashi Goda,Female,24,Adult,Noida,Gold
C147,Naveen Patla,Male,46,Adult,Gurgaon,Gold
C148,Teerth Bajaj,Male,37,Adult,Gurgaon,Silver
C149,Jonathan Jani,Male,24,Adult,Delhi,None
C150,Balhaar Bajaj,Male,48,Adult,Faridabad,Gold
C151,Dayita Garde,Female,27,Adult,Gurgaon,Gold
C152,Peter Balan,Male,29,Adult,Noida,Gold
C153,Samar Srinivas,Male,34,Adult,Gurgaon,Gold
C154,Advik Divan,Male,37,Adult,Noida,Gold
C155,Riya Choudhury,Female,44,Adult,Gurgaon,Silver
C156,Janya Mukhopadhyay,Female,19,Adult,Gurgaon,None
C157,Chandran Thakur,Male,44,Adult,Noida,Silver
C158,Aadi Khatri,Male,47,Adult,Delhi,Silver
C159,Harita Kata,Female,41,Adult,Delhi,None
C160,Viraj Gaba,Male,27,Adult,Delhi,Silver
C161,Jeet Parekh,Male,43,Adult,Delhi,Silver
C162,Krishna Khurana,Female,53,Adult,Gurgaon,Gold
C163,Dev Gole,Male,29,Adult,Faridabad,Gold
C164,Robert Ravi,Male,52,Adult,Faridabad,None
C165,Max Venkataraman,Male,28,Adult,Noida,None
C166,Ishanvi Aurora,Female,47,Adult,Noida,Silver
C167,Upma Sama,Female,23,Adult,Noida,None
C168,Qushi Bhalla,Female,53,Adult,Faridabad,None
C169,Samarth Pillay,Male,20,Adult,Delhi,Gold
C170,Nimrat Sachdev,Female,47,Adult,Delhi,Gold
C171,Yagnesh Dhawan,Male,35,Adult,Noida,None
C172,Nidhi Sandhu,Female,43,Adult,Gurgaon,Gold
C173,Anamika Mangal,Female,55,Adult,Noida,None
C174,Dayamai Bath,Female,56,Adult,Noida,Gold
C175,Hemangini Chakraborty,Female,24,Adult,Noida,Gold
C176,Tanvi Venkatesh,Female,33,Adult,Noida,Silver
C177,Rudra Taneja,Male,48,Adult,Gurgaon,None
C178,Hardik Sundaram,Male,46,Adult,Delhi,None
C179,Agastya Shere,Male,40,Adult,Gurgaon,Silver
C180,Siddharth Chatterjee,Male,58,Adult,Faridabad,Silver
C181,Theodore Maharaj,Male,33,Adult,Delhi,Gold
C182,Mekhala Parmer,Female,48,Adult,Noida,Silver
C183,Wakeeta Karan,Female,37,Adult,Noida,Silver
C184,Darika Kakar,Female,22,Adult,Noida,None
C185,Karan Ghose,Male,31,Adult,Faridabad,Silver
C186,Udarsh Borah,Male,44,Adult,Faridabad,Silver
C187,Gaurav Goel,Male,25,Adult,Noida,Gold
C188,Yadavi Chand,Female,51,Adult,Gurgaon,None
C189,Jack Merchant,Male,60,Senior,Delhi,Silver
C190,Harshil Pingle,Male,30,Adult,Gurgaon,None
C191,Pavani Lad,Female,59,Adult,Noida,Gold
C192,Hritik Sandal,Male,59,Adult,Noida,None
C193,Damyanti Borah,Female,27,Adult,Delhi,Gold
C194,Rachita Reddy,Female,29,Adult,Delhi,None
C195,Unni Ganesh,Female,55,Adult,Noida,Gold
C196,Samar Varma,Male,39,Adult,Noida,Silver
C197,Yahvi Singh,Female,20,Adult,Faridabad,Gold
C198,Anmol Chakraborty,Male,19,Adult,Noida,None
C199,Alka Srinivasan,Female,23,Adult,Delhi,Silver
C200,Mason Koshy,Male,26,Adult,Noida,Silver
C201,Balendra Nadkarni,Male,19,Adult,Noida,None
C202,Varenya Warrior,Female,38,Adult,Gurgaon,Silver
C203,Tanish Pillai,Male,52,Adult,Delhi,Gold
C204,Sai Garg,Male,24,Adult,Delhi,Gold
C205,Maanav Batta,Male,28,Adult,Noida,Gold
C206,Pranit Srivastava,Male,30,Adult,Delhi,None
C207,Shivansh Chandran,Male,18,Teen,Noida,Silver
C208,Chakradhar Dalal,Male,57,Adult,Delhi,None
C209,Prisha Chaudhry,Female,57,Adult,Delhi,Silver
C210,Jagvi Bobal,Female,41,Adult,Faridabad,Gold
C211,Unni Contractor,Female,19,Adult,Faridabad,Gold
C212,Aadhya Menon,Female,59,Adult,Delhi,Gold
C213,Vansha Gade,Female,44,Adult,Delhi,Silver
C214,Girish Rajan,Male,42,Adult,Noida,Silver
C215,Daksha Chad,Female,40,Adult,Faridabad,None
C216,Lakshit Som,Male,55,Adult,Delhi,None
C217,Lajita Sidhu,Female,59,Adult,Faridabad,Silver
C218,Noah Natt,Male,57,Adult,Delhi,Gold
C219,Lajita Purohit,Female,44,Adult,Noida,Silver
C220,Vansha Wadhwa,Female,25,Adult,Faridabad,Gold
C221,Zinal Sangha,Female,20,Adult,Faridabad,Gold
C222,Hitesh Dube,Male,36,Adult,Delhi,None
C223,Krishna Mani,Male,33,Adult,Delhi,None
C224,Baljiwan Goyal,Male,56,Adult,Faridabad,Silver
C225,Karan Ratti,Male,51,Adult,Delhi,Silver
C226,Sathvik Bahl,Male,34,Adult,Noida,Silver
C227,Libni Mallick,Female,58,Adult,Noida,Silver
C228,Yoshita Vora,Female,38,Adult,Gurgaon,Gold
C229,Victor Ravel,Male,45,Adult,Noida,Silver
C230,Meera Sachdeva,Female,29,Adult,Gurgaon,None
C231,Kamala Sane,Female,20,Adult,Faridabad,Silver
C232,Kamya Raja,Female,52,Adult,Delhi,Silver
C233,Rushil Desai,Male,35,Adult,Delhi,Silver
C234,Chameli Kala,Female,51,Adult,Delhi,Gold
C235,Nikita Barad,Female,23,Adult,Noida,Silver
C236,Zaid Chandra,Male,51,Adult,Noida,Silver
C237,Devansh Gaba,Male,48,Adult,Gurgaon,Gold
C238,Qabil Rajagopalan,Male,42,Adult,Noida,None
C239,Bachittar Yadav,Male,51,Adult,Gurgaon,None
C240,Charles Mittal,Male,57,Adult,Delhi,None
C241,Pranav Ahuja,Male,56,Adult,Gurgaon,Silver
C242,Ubika Sule,Female,35,Adult,Delhi,Silver
C243,Devika Garde,Female,58,Adult,Delhi,Silver
C244,Chanakya Chad,Male,25,Adult,Gurgaon,None
C245,Siya Soni,Female,41,Adult,Faridabad,Gold
C246,Ekani Narula,Female,53,Adult,Gurgaon,Silver
C247,Ayushman Kadakia,Male,28,Adult,Faridabad,Gold
C248,Hardik Setty,Male,41,Adult,Noida,Silver
C249,Benjamin Varghese,Male,49,Adult,Gurgaon,Silver
C250,Manthan Pai,Male,36,Adult,Delhi,None
C251,Nandini Mangal,Female,23,Adult,Gurgaon,Gold
C252,Kashvi Pandya,Female,30,Adult,Faridabad,None
C253,Ojasvi Chawla,Female,39,Adult,Faridabad,Gold
C254,Teerth Sen,Male,52,Adult,Faridabad,Silver
C255,Bishakha Lal,Female,52,Adult,Faridabad,Silver
C256,Januja Pandit,Female,24,Adult,Faridabad,None
C257,Imaran Sarma,Male,18,Teen,Faridabad,Silver
C258,Maya Kala,Female,23,Adult,Noida,None
C259,Falguni Kannan,Female,38,Adult,Delhi,Gold
C260,Indali Rattan,Female,19,Adult,Delhi,None
C261,Xiti Dhawan,Female,27,Adult,Gurgaon,Gold
C262,Fiyaz Kant,Male,20,Adult,Gurgaon,Gold
C263,Libni Char,Female,32,Adult,Faridabad,Gold
C264,Devika Bal,Female,26,Adult,Noida,Silver
C265,Nihal Trivedi,Male,41,Adult,Delhi,Gold
C266,Yamini Munshi,Female,49,Adult,Noida,None
C267,Caleb Agrawal,Male,20,Adult,Noida,Gold
C268,Vyanjana Gopal,Female,22,Adult,Delhi,Gold
C269,Joshua Memon,Male,34,Adult,Noida,Silver
C270,Mitesh Bora,Male,43,Adult,Faridabad,Gold
C271,Ryan Mani,Male,43,Adult,Delhi,Silver
C272,Theodore Handa,Male,53,Adult,Noida,Silver
C273,Urishilla Vasa,Female,48,Adult,Gurgaon,None
C274,Ekanta Kibe,Female,57,Adult,Gurgaon,Silver
C275,Bahadurjit Rao,Male,22,Adult,Gurgaon,Gold
C276,Deepa Kakar,Female,42,Adult,Delhi,None
C277,Tanish Rao,Male,50,Adult,Faridabad,Gold
C278,Barkha Maharaj,Female,35,Adult,Faridabad,None
C279,Aachal Brahmbhatt,Female,57,Adult,Faridabad,Gold
C280,Warhi Nagi,Female,28,Adult,Noida,Gold
C281,Hredhaan Sarma,Male,59,Adult,Gurgaon,Gold
C282,Kevin Narayan,Male,18,Teen,Gurgaon,None
C283,Laksh Khosla,Male,46,Adult,Noida,Gold
C284,Baghyawati Balay,Female,51,Adult,Gurgaon,None
C285,Bahadurjit Ghosh,Male,36,Adult,Faridabad,Gold
C286,Ucchal Bhargava,Female,23,Adult,Delhi,Silver
C287,Lakshit Sarkar,Male,20,Adult,Faridabad,Silver
C288,Pratyush Rau,Male,31,Adult,Faridabad,None
C289,Ubika Dhar,Female,48,Adult,Noida,Gold
C290,Wyatt Minhas,Male,29,Adult,Delhi,Gold
C291,Anirudh Jani,Male,28,Adult,Delhi,None
C292,Manan Manne,Male,46,Adult,Faridabad,Gold
C293,Chasmum Pai,Female,58,Adult,Faridabad,Gold
C294,Lekha Gill,Female,45,Adult,Faridabad,Silver
C295,Utkarsh Dass,Male,43,Adult,Faridabad,None
C296,Kevin Sunder,Male,37,Adult,Noida,None
C297,Sarthak Wadhwa,Male,48,Adult,Delhi,None
C298,Ishanvi Kade,Female,50,Adult,Faridabad,None
C299,Onkar Madan,Male,18,Teen,Delhi,None
C300,Dayita Ranganathan,Female,42,Adult,Delhi,None
C301,Harsh Barman,Male,24,Adult,Faridabad,None
C302,Aadhya Narayan,Female,37,Adult,Noida,None
C303,Max Mangal,Male,28,Adult,Noida,None
C304,David Samra,Male,43,Adult,Gurgaon,None
C305,Amruta Pathak,Female,20,Adult,Noida,Silver
C306,Banjeet Kata,Male,32,Adult,Noida,Silver
C307,Kamya Palan,Female,31,Adult,Gurgaon,Gold
C308,Isha Ratti,Female,49,Adult,Noida,None
C309,Jhalak Bal,Female,46,Adult,Gurgaon,None
C310,Ira Sodhi,Female,43,Adult,Noida,Gold
C311,Nicholas Golla,Male,40,Adult,Gurgaon,None
C312,Yagnesh Khosla,Male,19,Adult,Gurgaon,Gold
C313,Aishani Tella,Female,59,Adult,Faridabad,Silver
C314,Parth Ram,Male,46,Adult,Noida,Silver
C315,Pahal Sarma,Female,25,Adult,Delhi,Silver
C316,Devansh Borde,Male,21,Adult,Gurgaon,Silver
C317,Darsh Goel,Male,23,Adult,Delhi,None
C318,Manthan Kashyap,Male,39,Adult,Gurgaon,Gold
C319,Priya Din,Female,60,Senior,Faridabad,Silver
C320,Mason Kothari,Male,31,Adult,Faridabad,Silver
C321,Bina Korpal,Female,32,Adult,Noida,Gold
C322,Liam Patla,Male,48,Adult,Gurgaon,None
C323,Nitesh Khalsa,Male,56,Adult,Delhi,Silver
C324,Baghyawati Dhar,Female,45,Adult,Gurgaon,Silver
C325,Upadhriti Narasimhan,Female,19,Adult,Faridabad,Gold
C326,Triveni Bawa,Female,22,Adult,Gurgaon,None
C327,Patrick Sunder,Male,25,Adult,Faridabad,Silver
C328,Keya Sani,Female,51,Adult,Faridabad,Silver
C329,Lucky Sur,Male,33,Adult,Noida,None
C330,Janaki Mand,Female,22,Adult,Noida,Silver
C331,Wriddhish Dora,Male,42,Adult,Noida,None
C332,Advaith Goel,Male,22,Adult,Noida,None
C333,Baljiwan Mitter,Male,42,Adult,Faridabad,Silver
C334,Janya Manda,Female,20,Adult,Delhi,None
C335,Balendra Saha,Male,20,Adult,Delhi,Silver
C336,Oeshi Ghose,Female,47,Adult,Noida,None
C337,Tarak Dave,Male,30,Adult,Faridabad,Gold
C338,Janaki Nair,Female,39,Adult,Delhi,Gold
C339,Yadavi Tella,Female,58,Adult,Delhi,Silver
C340,Vrishti Hegde,Female,49,Adult,Gurgaon,Gold
C341,Waida Vig,Female,59,Adult,Faridabad,None
C342,Janaki Bajwa,Female,29,Adult,Faridabad,Gold
C343,Zehaan Seshadri,Male,53,Adult,Delhi,Silver
C344,Nimrat Puri,Female,36,Adult,Faridabad,None
C345,Aradhana Shah,Female,36,Adult,Gurgaon,Gold
C346,Yasti Rattan,Female,41,Adult,Noida,None
C347,Darika Sibal,Female,43,Adult,Gurgaon,None
C348,Shivansh Kulkarni,Male,47,Adult,Faridabad,Silver
C349,Wazir Pillay,Male,36,Adult,Faridabad,Gold
C350,Chakradev Dua,Male,35,Adult,Delhi,Silver
C351,Chandran Deshmukh,Male,32,Adult,Gurgaon,Gold
C352,Anmol Kuruvilla,Male,56,Adult,Gurgaon,Gold
C353,Aadi Majumdar,Male,51,Adult,Faridabad,None
C354,Qushi Palla,Female,60,Senior,Faridabad,None
C355,Turvi Sangha,Female,55,Adult,Faridabad,Silver
C356,Mitali Tripathi,Female,53,Adult,Faridabad,None
C357,Neelima Palla,Female,37,Adult,Faridabad,Gold
C358,Chandani Sethi,Female,21,Adult,Delhi,Silver
C359,Jagvi Mutti,Female,58,Adult,Gurgaon,None
C360,Raksha Varma,Female,30,Adult,Delhi,Gold
C361,Jagdish Jaggi,Male,43,Adult,Delhi,Gold
C362,Maya Palla,Female,56,Adult,Noida,None
C363,Isha Shukla,Female,20,Adult,Gurgaon,None
C364,Ekavir Patel,Male,45,Adult,Gurgaon,Gold
C365,Chameli Nagar,Female,18,Teen,Faridabad,None
C366,Jagdish Baria,Male,44,Adult,Faridabad,None
C367,Bhavya Agrawal,Female,37,Adult,Faridabad,None
C368,Ishaan Peri,Male,33,Adult,Noida,Gold
C369,Saumya Dhillon,Female,45,Adult,Noida,None
C370,Brijesh Chaudhary,Male,21,Adult,Noida,None
C371,David Khare,Male,41,Adult,Delhi,None
C372,Inaya Kapur,Female,29,Adult,Gurgaon,Gold
C373,Manya Sanghvi,Female,21,Adult,Delhi,Silver
C374,Sathvik Ahuja,Male,60,Senior,Faridabad,None
C375,Hitesh Ghose,Male,45,Adult,Delhi,None
C376,Dipta Subramanian,Female,33,Adult,Delhi,None
C377,Christopher Palla,Male,24,Adult,Delhi,Gold
C378,Rohan Sankaran,Male,52,Adult,Delhi,Silver
C379,Manya Jaggi,Female,56,Adult,Noida,Gold
C380,Daksha Saxena,Female,60,Senior,Delhi,None
C381,Priya Tandon,Female,24,Adult,Noida,Gold
C382,Hiral Khosla,Female,20,Adult,Gurgaon,Gold
C383,Kalpit Barad,Male,20,Adult,Delhi,None
C384,Vincent Natt,Male,53,Adult,Delhi,Gold
C385,Nitara Seth,Female,39,Adult,Delhi,Gold
C386,Farhan Magar,Male,49,Adult,Gurgaon,None
C387,Wishi Naidu,Female,27,Adult,Faridabad,Gold
C388,Champak Saraf,Male,34,Adult,Delhi,Silver
C389,Kevin Krishna,Male,42,Adult,Faridabad,None
C390,Zayyan Parmer,Male,60,Senior,Noida,None
C391,Sudiksha Sridhar,Female,34,Adult,Faridabad,None
C392,Azaan Doctor,Male,38,Adult,Noida,Gold
C393,Lohit Sastry,Male,20,Adult,Noida,Silver
C394,Gayathri Chaudhary,Female,56,Adult,Faridabad,Gold
C395,Bhanumati Barman,Female,41,Adult,Faridabad,None
C396,Chaaya Sura,Female,26,Adult,Noida,Silver
C397,Advika Balasubramanian,Female,48,Adult,Faridabad,Silver
C398,Saumya Palla,Female,59,Adult,Delhi,None
C399,Patrick Sane,Male,28,Adult,Noida,Gold
C400,Dominic Mangat,Male,18,Teen,Noida,None
C401,Samuel Rajagopal,Male,48,Adult,Faridabad,Silver
C402,Om Ganesan,Male,35,Adult,Delhi,Gold
C403,Balvan Oak,Male,56,Adult,Noida,None
C404,Mitesh Khalsa,Male,58,Adult,Noida,None
C405,Wriddhish Brahmbhatt,Male,30,Adult,Delhi,Gold
C406,Wahab Narula,Male,41,Adult,Delhi,Gold
C407,Jason Dalal,Male,37,Adult,Faridabad,Gold
C408,Ijaya Desai,Female,41,Adult,Gurgaon,Silver
C409,Charan Amble,Male,34,Adult,Delhi,Gold
C410,Caleb Som,Male,24,Adult,Delhi,None
C411,Pahal Dar,Female,38,Adult,Faridabad,None
C412,Sai Wagle,Female,39,Adult,Faridabad,None
C413,Urvashi Peri,Female,38,Adult,Faridabad,None
C414,Samesh Oak,Male,60,Senior,Delhi,Gold
C415,Chandresh Gaba,Male,52,Adult,Faridabad,None
C416,Lipika Tripathi,Female,25,Adult,Noida,Silver
C417,Benjamin Kalla,Male,51,Adult,Noida,None
C418,Sarthak Pall,Male,34,Adult,Delhi,Silver
C419,Ekavir Shah,Male,58,Adult,Noida,Gold
C420,Akshay Karnik,Male,32,Adult,Noida,Silver
C421,Nirja Seshadri,Female,46,Adult,Gurgaon,Silver
C422,Ishani Mody,Female,54,Adult,Gurgaon,Silver
C423,Ikbal Chakraborty,Male,32,Adult,Delhi,None
C424,Bachittar Gala,Male,45,Adult,Noida,Gold
C425,Kamala Bajaj,Female,33,Adult,Gurgaon,None
C426,Nidhi Modi,Female,36,Adult,Noida,Gold
C427,Simon Rai,Male,50,Adult,Noida,Gold
C428,Pranav Dhillon,Male,52,Adult,Delhi,Gold
C429,Tarak Sem,Male,29,Adult,Noida,Gold
C430,Alka Goel,Female,39,Adult,Faridabad,Silver
C431,Sara Chaudhry,Female,33,Adult,Delhi,Gold
C432,Isaac Dewan,Male,53,Adult,Gurgaon,None
C433,Vritti Chaudhary,Female,31,Adult,Faridabad,Silver
C434,Laban Sinha,Male,54,Adult,Gurgaon,Gold
C435,Elijah Gara,Male,22,Adult,Noida,Silver
C436,Vinaya Halder,Female,31,Adult,Gurgaon,None
C437,Amara Master,Female,32,Adult,Noida,Silver
C438,Lucky Oza,Male,26,Adult,Delhi,Silver
C439,Jacob Mukherjee,Male,35,Adult,Gurgaon,None
C440,Triveni Nayar,Female,29,Adult,Gurgaon,None
C441,Veer Pathak,Male,51,Adult,Gurgaon,Gold
C442,Anamika Narayanan,Female,49,Adult,Delhi,Gold
C443,Idika Walla,Female,36,Adult,Noida,Gold
C444,Tejas Mohanty,Male,33,Adult,Delhi,Gold
C445,Eesha Chander,Female,32,Adult,Noida,None
C446,Dakshesh Walla,Male,52,Adult,Faridabad,Silver
C447,Mekhala Sur,Female,28,Adult,Delhi,Gold
C448,Radhika Kari,Female,18,Teen,Noida,Gold
C449,Netra Deep,Female,57,Adult,Faridabad,Silver
C450,Zilmil Panchal,Female,18,Teen,Delhi,Gold
C451,Krishna Pandit,Male,46,Adult,Noida,None
C452,Sachi Dugar,Female,41,Adult,Noida,Gold
C453,Gagan Pandit,Male,25,Adult,Noida,Gold
C454,Umang Basu,Male,44,Adult,Gurgaon,None
C455,Harsh Hari,Male,20,Adult,Gurgaon,Gold
C456,Vasudha Sarin,Female,46,Adult,Delhi,Gold
C457,Ridhi Mani,Female,57,Adult,Gurgaon,Gold
C458,Hemani Patel,Female,47,Adult,Delhi,Silver
C459,Samuel Choudhury,Male,51,Adult,Gurgaon,Gold
C460,Frado Toor,Male,49,Adult,Gurgaon,Silver
C461,Hemani Goswami,Female,58,Adult,Faridabad,Gold
C462,Victor Ravi,Male,43,Adult,Delhi,Silver
C463,Vyanjana Soni,Female,29,Adult,Delhi,Silver
C464,Unni Venkatesh,Female,55,Adult,Faridabad,None
C465,Ekalinga Keer,Male,31,Adult,Noida,Silver
C466,Jeet Doshi,Male,59,Adult,Faridabad,Gold
C467,Ryan Shan,Male,25,Adult,Faridabad,Gold
C468,Veda Dara,Female,22,Adult,Delhi,Gold
